Property,Edge,Firefox,Chrome,Safari,Opera
clip,8,1,1,1,7
clip-path,12,54,55,9.1,42
color,3,1,1,1,3.5
column-count,10,52,50,9,37
column-fill,10,52,50,10,37
column-gap,84,63,84,14.1,70
column-rule,10,52,50,9,37
column-rule-color,10,52,50,9,37
column-rule-style,10,52,50,9,37
column-rule-width,10,52,50,9,37
column-span,10,71,50,9,37
column-width,10,52,50,9,37
columns,10,52,50,9,37
content,8,1,1,1,4
counter-increment,8,2,4,3.1,9.6
counter-reset,8,2,4,3.1,9.6
cursor,5.5,4,5,5,9.6
direction,5.5,1,2,1.3,9.2
display,8,3,4,3.1,7
empty-cells,8,1,1,1.2,4
filter,13,35,53,9.1,40
flex,11,28,29,9,17
flex-basis,11,28,29,9,17
flex-direction,11,28,29,9,17
flex-flow,11,28,29,9,17
flex-grow,11,28,29,9,17
flex-shrink,11,28,29,9,17
flex-wrap,11,28,29,9,17
float,4,1,1,1,7
font,4,1,1,1,3.5
@font-face,9,3.6,4,3,10
font-family,4,1,1,1,3.5
font-feature-settings,10,34,48,9.1,35
@font-feature-values,,34,,,
font-kerning,79,34,33,9.1,20.1
font-language-override,,34,,,
font-size,5.5,1,1,1,7
font-size-adjust,,3,,,
font-stretch,9,9,48,11,35
font-style,4,1,1,1,7
font-synthesis,,34,,10,
font-variant,4,1,1,1,3.5
font-variant-alternates,,34,,9.1,
font-variant-caps,79,34,52,,39
font-variant-east-asian,,34,,,
font-variant-ligatures,10,34,34,7,19
font-variant-numeric,,34,52,,39
font-variant-position,,34,,,
font-weight,4,1,2,1.3,3.5
gap,84,63,84,14.1,70
grid,10,52,57,10,44
grid-area,10,52,57,10,44
grid-auto-columns,10,52,57,10,44
grid-auto-flow,10,52,57,10,44
grid-auto-rows,10,52,57,10,44
grid-column,10,52,57,10,44
grid-column-end,10,52,57,10,44
grid-column-gap,10,52,57,10,44
grid-column-start,10,52,57,10,44
grid-gap,10,52,57,10,44
grid-row,10,52,57,10,44
grid-row-end,10,52,57,10,44
grid-row-gap,10,52,57,10,44
grid-row-start,10,52,57,10,44
grid-template,10,52,57,10,44
grid-template-areas,10,52,57,10,44
grid-template-columns,10,52,57,10,44
grid-template-rows,10,52,57,10,44
hanging-punctuation,,,,,
height,4,1,1,1,7
hyphens,79,43,55,5.1,44
image-rendering,79,65,41,10,28
@import,5.5,1,1,1,3.5
inline-size,79,41,57,12.1,44
inset,87,66,87,14.1,73
inset-block,87,63,87,14.1,73
inset-block-end,87,63,87,14.1,73
inset-block-start,87,63,87,14.1,73
inset-inline,87,63,87,14.1,73
inset-inline-end,87,63,87,14.1,73
inset-inline-start,87,63,87,14.1,73
isolation,79,36,41,7.1,30
justify-content,11,28,29,9,17
justify-items,16,45,57,10.1,44
justify-self,16,45,57,10.1,44
@keyframes,10,16,43,9,30
left,5.5,1,1,1,5
letter-spacing,4,1,1,1,3.5
line-break,5.5,,1,,
line-height,4,1,1,1,7
list-style,4,1,1,1,7
list-style-image,4,1,1,1,7
list-style-position,4,1,1,1,3.5
list-style-type,4,1,1,1,3.5
margin,6,1,1,1,3.5
margin-block,87,66,87,14.1,73
margin-block-end,87,41,87,12.1,73
margin-block-start,87,41,87,12.1,73
margin-bottom,6,1,1,1,3.5
margin-inline,87,66,87,14.1,73
margin-inline-end,87,41,87,12.1,73
margin-inline-start,87,41,87,12.1,73
margin-left,6,1,1,1,3.5
margin-right,6,1,1,1,3.5
margin-top,6,1,1,1,3.5
mask,12,53,4,4,15
mask-clip,79,53,4,4,15
mask-composite,18,53,4,3.1,15
mask-image,79,53,4,4,15
mask-mode,,53,,,
mask-origin,79,53,4,4,15
mask-position,79,53,4,4,15
mask-repeat,79,53,4,3.1,15
mask-size,79,53,4,4,15
mask-type,79,35,24,7,15
max-block-size,79,41,57,12.1,44
max-height,7,1,1,2,7
max-inline-size,79,41,57,12.1,44
max-width,7,1,1,2,7
@media,9,3.5,21,4,9
min-block-size,79,41,57,12.1,44
min-inline-size,79,41,57,12.1,44
min-height,7,1,1,2,4
min-width,7,1,1,2,4
mix-blend-mode,79,32,41,8,35
@namespace,9,1,1,1,8
object-fit,16,36,31,7.1,19
object-position,16,36,31,7.1,19
offset,79,72,55,16,42
offset-anchor,,72,,,
offset-distance,79,72,55,,42
offset-path,79,72,55,15.4,45
offset-position,,,,,
offset-rotate,79,72,56,,43
opacity,9,2,4,3.1,9
order,11,28,29,9,17
orphans,8,,25,3.1,10
outline,8,1.5,1,1.2,7
outline-color,8,1.5,1,1.2,7
outline-offset,15,3.5,4,3,10.5
outline-style,8,1.5,1,1.2,7
outline-width,8,1.5,1,1.2,7
overflow,4,1,1,1,7
overflow-anchor,79,66,56,,43
overflow-wrap,18,49,23,6.1,12.1
overflow-x,9,3.5,4,3,9.5
overflow-y,9,1.5,4,3,9.5
overscroll-behavior,18,59,63,16,50
overscroll-behavior-block,79,73,77,16,64
overscroll-behavior-inline,79,73,77,16,64
overscroll-behavior-x,18,59,63,16,50
overscroll-behavior-y,18,59,63,16,50
padding,4,1,1,1,3.5
padding-block,87,66,87,14.1,73
padding-block-end,87,41,87,12.1,73
padding-block-start,87,41,87,12.1,73
padding-bottom,4,1,1,1,3.5
padding-inline,87,66,87,14.1,73
padding-inline-end,87,41,87,12.1,73
padding-inline-start,87,41,87,12.1,73
padding-left,4,1,1,1,3.5
padding-right,4,1,1,1,3.5
padding-top,4,1,1,1,3.5
@page,8,19,15,,15
page-break-after,4,1,1,1.2,7
page-break-before,4,1,1,1.2,7
page-break-inside,8,19,1,1.3,7
paint-order,17,60,35,8,22
perspective,10,16,36,9,23
perspective-origin,10,16,36,9,23
place-content,79,53,59,11,46
place-items,79,45,59,11,46
place-self,79,45,59,11,46
pointer-events,11,3.6,2,4,9
position,7,1,1,1.2,4
quotes,8,1.5,11,5.1,4
resize,79,5,4,4,15
right,5.5,1,1,1,5
rotate,104,72,104,14.1,90
row-gap,84,63,84,14.1,70
scale,104,72,104,14.1,90
scroll-behavior,79,36,61,14,48
scroll-margin,79,90,69,14.1,56
scroll-margin-block,79,68,69,14.1,56
scroll-margin-block-end,79,68,69,14.1,56
scroll-margin-block-start,79,68,69,14.1,56
scroll-margin-bottom,79,68,69,14.1,56
scroll-margin-inline,79,68,69,14.1,56
scroll-margin-inline-end,79,68,69,14.1,56
scroll-margin-inline-start,79,68,69,14.1,56
scroll-margin-left,79,68,69,14.1,56
scroll-margin-right,79,68,69,14.1,56
scroll-margin-top,79,68,69,14.1,56
scroll-padding,79,90,69,14.1,56
scroll-padding-block,79,68,69,14.1,56
scroll-padding-block-end,79,68,69,14.1,56
scroll-padding-block-start,79,68,69,14.1,56
scroll-padding-bottom,79,68,69,14.1,56
scroll-padding-inline,79,68,69,14.1,56
scroll-padding-inline-end,79,68,69,14.1,56
scroll-padding-inline-start,79,68,69,14.1,56
scroll-padding-left,79,68,69,14.1,56
scroll-padding-right,79,68,69,14.1,56
scroll-padding-top,79,68,69,14.1,56
scroll-snap-align,79,68,69,11,56
scroll-snap-stop,79,68,69,11,56
scroll-snap-type,79,68,69,11,56
shape-image-threshold,79,62,37,10.1,24
shape-margin,79,62,37,10.1,24
@supports,12,22,28,9,12.1
tab-size,79,4,21,6.1,15
table-layout,5,1,14,1,7
text-align,3,1,1,1,3.5
text-align-last,5.5,49,47,,34
text-combine-upright,,48,48,5.1,35
text-decoration,3,1,1,1,3.5
text-decoration-color,79,36,57,12.1,44
text-decoration-line,79,36,57,12.1,44
text-decoration-style,79,36,57,12.1,44
text-decoration-thickness,89,70,89,12.1,75
text-emphasis,99,46,99,7,15
text-emphasis-color,99,46,99,7,15
text-emphasis-position,99,46,99,7,15
text-emphasis-style,99,46,99,7,15
text-indent,3,1,1,1,3.5
text-justify,5.5,55,,10,
text-orientation,79,41,48,14,35
text-overflow,6,7,4,3.1,11
text-shadow,10,3.5,4,4,9.6
text-transform,4,1,1,1,7
text-underline-position,,,33,,
top,5,1,1,1,6
touch-action,12,52,36,13,23
transform,10,16,36,9,23
transform-origin,10,16,36,9,23
transform-style,11,16,36,9,23
transition,10,16,26,6.1,12.1
transition-delay,10,16,26,6.1,12.1
transition-duration,10,16,26,6.1,12.1
transition-property,10,16,26,6.1,12.1
transition-timing-function,10,16,26,6.1,12.1
translate,104,72,104,14.1,90
unicode-bidi,5.5,1,2,1.3,9.2
user-select,79,69,54,3.1,41
vertical-align,4,1,1,1,4
@viewport,10,,29,,16
visibility,4,1,1,1,4
white-space,8,3.5,1,3,9.5
widows,8,,25,7,10
width,4,1,1,1,3.5
will-change,79,36,36,9.1,24
word-break,5.5,15,4,3.1,15
word-spacing,6,1,1,1,3.5
word-wrap,5.5,3.5,4,3.1,10.5
writing-mode,12,41,48,11,35
z-index,4,3,1,1,4
